Zur's Weirding; FMB1; 2; Foil; 32
Zulaport Duelist; ZNR; 2; ; 88
Zulaport Cutthroat; TSR; 1; Foil; 337
Zulaport Cutthroat; ZNC; 1; ; 57
Zombify; A25; 1; ; 116
Zombie Ogre; AFR; 3; ; 129
Zof Consumption; ZNR; 1; ; 132
Zoetic Cavern; A25; 1; ; 249
Zimone, Quandrix Prodigy; STX; 3; ; 250
Zhur-Taa Swine; GTC; 1; ; 210
Zetalpa, Primal Dawn; RIX; 1; ; 30
Zephyr Scribe; DTK; 2; ; 85
Zephyr Charge; M20; 1; ; 82
Zephyr Boots; STX; 1; ; 261
Zenith Flare; IKO; 1; ; 217
Zendikar's Roil; ZNC; 1; ; 88
Zealous Strike; MB1; 1; ; 280
Zara, Renegade Recruiter; CMR; 1; ; 294
Zara, Renegade Recruiter; CMR; 1; ; 614
Zameck Guildmage; GTC; 1; ; 209
Zahid, Djinn of the Lamp; DOM; 1; ; 76
Zagras, Thief of Heartbeats; ZNR; 1; ; 241
Zagoth Mamba; IKO; 1; ; 106
Zagoth Crystal; IKO; 3; ; 242
Zacama, Primal Calamity; RIX; 1; ; 174
Yuriko, the Tiger's Shadow; CMR; 1; ; 542
Young Necromancer; MH2; 1; ; 110
You're Ambushed on the Road; AFR; 2; ; 43
You See a Pair of Goblins; AFR; 1; ; 170
You See a Guard Approach; AFR; 3; ; 85
You Meet in a Tavern; AFR; 1; Foil; 215
You Hear Something on Watch; AFR; 1; ; 42
You Find the Villains' Lair; AFR; 1; ; 399
You Find Some Prisoners; AFR; 1; ; 169
You Find a Cursed Idol; AFR; 2; ; 213
You Come to the Gnoll Camp; AFR; 2; ; 168
You Come to the Gnoll Camp; AFR; 1; Foil; 168
You Come to a River; AFR; 1; Foil; 83
Yore-Tiller Nephilim; FMB1; 1; Foil; 92
Yoked Ox; M20; 4; ; 41
Yeva's Forcemage; ORI; 1; ; 208
Yeva's Forcemage; MB1; 1; ; 1381
Yavimaya, Cradle of Growth; MH2; 1; ; 480
Yavimaya's Embrace; 2XM; 1; Foil; 229
Yavimaya Sapherd; DOM; 1; ; 189
Yavimaya Elder; ZNC; 1; ; 87
Yavimaya Dryad; TSR; 1; ; 247
Yavimaya Coast; C21; 1; ; 409
Yasharn, Implacable Earth; ZNR; 1; Foil; 240
Yasharn, Implacable Earth; ZNR; 1; Foil; 371
Yarok's Wavecrasher; M20; 3; ; 81
Wrong Turn; CMR; 2; ; 107
Wretched Camel; HOU; 1; ; 82
Wrecking Beast; RNA; 1; ; 150
Wrecking Beast; RNA; 1; Foil; 150
Wrangle; AER; 1; ; 101
Worn Powerstone; C17; 1; ; 232
Worn Powerstone; PLIST; 1; ; 281
Wormhole Serpent; STX; 2; Foil; 62
Worldsoul Colossus; GRN; 1; ; 215
Workshop Assistant; CMR; 4; ; 348
Woodweaver's Puzzleknot; KLD; 2; ; 240
Woodland Stream; HOU; 4; ; 204
Woodland Stream; XLN; 4; ; 284
Woodland Stream; RIX; 1; ; 191
Woodland Chasm; KHM; 1; Foil; 274
Woodland Champion; M20; 2; ; 205
Woodland Champion; 2XM; 1; ; 188
Wolverine Riders; KHC; 1; ; 14
Wolfwillow Haven; THB; 4; ; 205
Wolfrider's Saddle; M20; 2; ; 204
Wolfkin Bond; M20; 3; ; 203
Wolf's Quarry; ELD; 1; ; 184
Wojek Halberdiers; GTC; 1; ; 208
Wizard's Retort; DOM; 1; ; 75
Wizard's Lightning; DOM; 1; ; 152
Without Weakness; HOU; 1; ; 81
Withercrown; KHM; 2; ; 119
Witherbloom Pledgemage; STX; 1; ; 249
Witherbloom Command; STX; 1; ; 248
Witherbloom Campus; STX; 1; ; 275
Witherbloom Apprentice; STX; 1; ; 247
Witherbloom Apprentice; STX; 1; Foil; 247
Witching Well; ELD; 2; ; 74
Witch's Oven; ELD; 1; ; 237
Witch's Cottage; ELD; 1; ; 249
Witch's Cauldron; M21; 1; ; 129
Wishful Merfolk; MB1; 2; ; 554
Wishcoin Crab; M21; 3; ; 86
Wishcoin Crab; GRN; 3; ; 60
Wish; AFR; 1; ; 166
Wipe Away; TSR; 1; ; 100
Winota, Joiner of Forces; IKO; 1; ; 216
Wings of the Cosmos; KHM; 3; ; 39
